"speed_mean","accel_mean","sinuosity","Emax","direc_change","min_deltaS","min_C"
102.498818337266,-73.439146097971,0.0716044546099766,1.27488318572823,1379.33225508266,6,-0.341609512245432
98.376221953837,39.6570004694648,0.0734286284718189,1.2862841562977,1376.83955647776,6,-0.333806215440301
101.882166551985,1.36647148284099,0.0773813284607885,1.1521841313658,1425.13523265038,2,-0.430702413871697
98.4021927011101,21.0212092834441,0.0826744723578006,1.26530199685978,1381.41284763709,4,-0.380959239267137
98.8364444117842,-24.6707642956502,0.0791246236393841,0.824333954922864,1564.78238718441,2,-0.452719754417871
100.925020140935,-29.5728907272867,0.0739238470865443,1.11510202059698,1443.50775055607,2,-0.383988662428825
101.822403489949,15.8778791000474,0.0847984074603927,1.07648427665523,1449.16295826098,2,-0.468029163189354
101.061176803875,-5.54845537327525,0.0745131323221957,1.13219979116933,1431.91258275622,3,-0.408406467267768
100.555819916967,-50.813046288806,0.0913584328903217,0.956817762857761,1499.31297626812,2,-0.415744737408718
99.3203659837538,35.2293981503732,0.0928665917703901,1.06513321102498,1453.80028545889,4,-0.42707415758674
101.596656191665,-26.5661801489857,0.0935998580219237,1.83131937008601,1204.34751458309,2,-0.109117167347939
99.8332729390214,-8.68247494543863,0.099810092234538,1.37894911885573,1332.46143125917,4,-0.24687140012897
100.68122937589,48.6095390765209,0.0954035509683654,1.34824680927938,1347.02728432268,5,-0.339951164974508
98.9076469617911,-31.4540897019743,0.0698842083328894,1.27066692337331,1379.69667214232,2,-0.306138735068145
96.4739384323599,-61.6652717591369,0.0900218397803709,1.21188612006524,1392.32028470416,4,-0.323266033030863
95.8662737420356,-10.1373892199052,0.0719337967827598,1.300134238675,1372.38900549654,6,-0.306093511231726
99.0757187510636,3.72160672955277,0.0812901204077081,1.46434763446871,1319.73065846709,2,-0.197859907421209
97.0060098913163,48.0263471534876,0.0740207577187671,1.27120008621925,1380.64665726293,2,-0.289190370341887
101.036440242306,3.17962823843264,0.0799636299446235,1.79921668944835,1218.30470183173,2,-0.113871510973546
96.6888501513572,-0.220248338015924,0.0997628434158085,1.2306786905015,1390.46856988255,6,-0.388587658880055
97.4877084666803,10.3375768078027,0.0765589606305863,1.35033584837142,1355.50929976325,2,-0.213760619217746
97.0970045231109,-44.2279586114524,0.0835041096789447,1.31657704651773,1362.78837401008,1,-0.192113343590273
102.779836925255,-31.3475912476743,0.0780448952478647,1.12131271835155,1435.70187469427,2,-0.439046062864366
97.8076502958985,-0.886023896429351,0.0746916910651591,1.1348200104146,1427.69146590743,6,-0.358671239717055
103.39726898688,41.6380977804079,0.0806212103378393,1.03193176851339,1476.17469032204,2,-0.48016651485006
104.770695644428,-45.6060264068391,0.0733651131058963,1.20066981709412,1414.82073529507,2,-0.429627802230455
97.8586763806396,18.1720104131901,0.0791939369110348,0.990816218851729,1482.69732039519,2,-0.381984227994868
101.138836951693,70.8831782436806,0.0845496516683141,1.36300324739851,1357.97202419095,2,-0.309294398611844
100.564612484672,26.1079752937082,0.0745958475173488,1.25339615124716,1386.93416116431,6,-0.400992082707865
99.9156337364025,-1.42091285206521,0.0739809842447302,1.14828803846027,1424.97577294047,6,-0.377981618441977
102.758475888245,-18.9812718511091,0.0769787578268914,1.12586254353252,1437.79435914388,6,-0.45437168534804
97.8733103039542,-19.9813336242046,0.0754973845063529,1.12378840224681,1441.08819010906,6,-0.334466397826294
102.120600929624,-17.4023124196511,0.0788953460500607,1.17572351529295,1416.57925969447,2,-0.419423102680916
99.9368761441398,-68.7174004212446,0.0724056805473997,1.24265443531274,1400.03004132892,2,-0.29779823287944
100.744805899884,-11.584438434986,0.0739805347744551,1.46954438594293,1314.60976001752,5,-0.313656384318247
100.94563416891,27.1147684901617,0.0987322321439896,1.44452762036374,1315.86426463019,4,-0.305829626310669
98.8944440040545,-31.2226321947229,0.0752299797538617,1.21767220732175,1404.60585727453,2,-0.292158818159118
99.5754534595803,-13.8171171461217,0.0761111271959168,1.19806372449046,1408.10321038787,2,-0.36787300496444
99.2362609721935,123.172171434006,0.0852134849150407,1.08998256160346,1445.86760432515,2,-0.389058668541588
97.9526208231032,26.0748797107765,0.0724155032674621,1.30899556186253,1364.60579546173,2,-0.245692546692669
101.146767248457,-22.4792614783648,0.0884357251459034,1.11329493894767,1438.18699620517,6,-0.417827263406
97.4165475874948,-35.7749642482339,0.0746217179124979,1.2482185178735,1389.47216220508,6,-0.359144517248363
102.336655145129,123.576274172225,0.0819989958732941,1.14711529196118,1426.6150243772,5,-0.439445259888875
100.960194855245,-18.4067944483901,0.0846318326128012,1.16057454728327,1417.88509420092,6,-0.443600394242006
102.022949902463,45.3323942303393,0.0783114509142044,1.14920486688988,1423.96747558009,2,-0.443082695804891
100.622825350068,21.3586510509484,0.0752180071263637,1.24704129561814,1391.96596026698,2,-0.367568066032612
99.2904651639047,-68.3440497185155,0.0786710995904189,1.16842222703693,1413.3318085188,2,-0.344933179637592
97.5833466168834,-112.435804283962,0.0903914239118817,1.46053307296526,1315.50745612725,1,-0.170877537018358
102.892898883748,-4.44130387250002,0.0852359106610743,1.33547582411814,1358.67458419931,6,-0.431657687505895
99.8330177917233,-76.5858505933697,0.0828046733486857,0.892610931013069,1527.38823549406,2,-0.412369321313685
